# char	base	case	accent	rank	code	type   — Chroma UTF base table, DUCET 16.0.0 with case above accent. rank orders, code draws.
ǖ	9856	2	7.13	254	3454	letter
ű	9856	2	8	255	3464	letter
ũ	9856	2	9	256	3474	letter
ų	9856	2	12	257	3484	letter
ū	9856	2	13	258	3494	letter
ȕ	9856	2	14	259	3504	letter
ȗ	9856	2	15	260	3514	letter
ư	9856	2	16	261	3524	letter
U	9856	8	0	262	3534	letter
Ú	9856	8	1	263	3544	letter
Ù	9856	8	2	264	3554	letter
Ŭ	9856	8	3	265	3564	letter
Û	9856	8	4	266	3574	letter
Ǔ	9856	8	5	267	3584	letter
Ů	9856	8	6	268	3594	letter
Ü	9856	8	7	269	3604	letter
Ǘ	9856	8	7.1	270	3614	letter
Ǜ	9856	8	7.2	271	3624	letter
Ǚ	9856	8	7.5	272	3634	letter
Ǖ	9856	8	7.13	273	3644	letter
Ű	9856	8	8	274	3654	letter
Ũ	9856	8	9	275	3664	letter
Ų	9856	8	12	276	3674	letter
Ū	9856	8	13	277	3684	letter
Ȕ	9856	8	14	278	3694	letter
Ȗ	9856	8	15	279	3704	letter
Ư	9856	8	16	280	3714	letter
v	9904	2	0	281	3724	letter
V	9904	8	0	282	3734	letter
w	9922	2	0	283	3744	letter
ŵ	9922	2	4	284	3754	letter
W	9922	8	0	285	3764	letter
Ŵ	9922	8	4	286	3774	letter
x	9932	2	0	287	3784	letter
X	9932	8	0	288	3794	letter
y	9944	2	0	289	3804	letter
ý	9944	2	1	290	3814	letter
ŷ	9944	2	4	291	3824	letter
ÿ	9944	2	7	292	3834	letter
ȳ	9944	2	13	293	3844	letter
Y	9944	8	0	294	3854	letter
Ý	9944	8	1	295	3864	letter
Ŷ	9944	8	4	296	3874	letter
Ÿ	9944	8	7	297	3884	letter
Ȳ	9944	8	13	298	3894	letter
z	9966	2	0	299	3904	letter
ź	9966	2	1	300	3914	letter
ž	9966	2	5	301	3924	letter
ż	9966	2	10	302	3934	letter
Z	9966	8	0	303	3944	letter
Ź	9966	8	1	304	3954	letter
Ž	9966	8	5	305	3964	letter
Ż	9966	8	10	306	3974	letter
